,nome,filtro,minucias,nfiq,nfiq2,qmap
296,f1413_07[TOZI].png.min,Thresh to Zero Invert,216,5,11,0.4169921875
297,s1252_07[TZER].png.min,Thresh to Zero,49,1,49,2.804443359375
298,s1379_07[BINV].png.min,Binary Invert,68,1,54,1.0888671875
299,f1454_08[TRUC].png.min,Trunc,117,2,59,1.830810546875
300,f1481_02[BINA].png.min,Binary,136,2,45,2.167724609375
301,s1436_09[TOZI].png.min,Thresh to Zero Invert,263,3,23,2.7001953125
302,f1347_09[TOZI].png.min,Thresh to Zero Invert,205,4,20,2.7841796875
303,f1367_02.png.min,No Filter,99,4,24,2.133544921875
304,s1372_04[BINV].png.min,Binary Invert,98,3,39,2.581787109375
305,s1475_09[TOZI].png.min,Thresh to Zero Invert,199,3,32,0.931640625
306,s1309_05[BINA].png.min,Binary,114,2,31,0.99658203125
307,f1477_07[TRUC].png.min,Trunc,106,3,19,0.573486328125
308,f1411_05[BINV].png.min,Binary Invert,86,2,48,2.8662109375
309,s1252_07[TOZI].png.min,Thresh to Zero Invert,230,5,4,0.726318359375
310,s1307_03[TZER].png.min,Thresh to Zero,61,3,21,2.664794921875
311,s1439_01[TOZI].png.min,Thresh to Zero Invert,120,5,19,0.32861328125
312,s1441_02[TOZI].png.min,Thresh to Zero Invert,169,3,20,1.607177734375
313,f1486_03[TOZI].png.min,Thresh to Zero Invert,212,5,12,1.403564453125
314,s1440_05[TRUC].png.min,Trunc,100,4,26,1.30419921875
315,s1318_05[TRUC].png.min,Trunc,132,4,24,0.125732421875
316,f1430_05[TOZI].png.min,Thresh to Zero Invert,86,1,53,1.788818359375
317,f1500_07[TOZI].png.min,Thresh to Zero Invert,221,4,5,2.13134765625
318,f1327_08[BINA].png.min,Binary,38,4,24,0.981689453125
319,s1420_05[BINA].png.min,Binary,58,2,21,1.689208984375
320,f1437_07[TZER].png.min,Thresh to Zero,19,3,22,1.426513671875
321,s1460_06.png.min,No Filter,125,3,13,1.243408203125
322,f1431_08[TOZI].png.min,Thresh to Zero Invert,128,5,10,3.142822265625
323,f1394_07[TOZI].png.min,Thresh to Zero Invert,186,1,53,0.703369140625
324,f1457_09[TZER].png.min,Thresh to Zero,72,1,41,2.007080078125
325,f1374_04[BINA].png.min,Binary,20,5,34,2.458740234375
326,f1417_02[TOZI].png.min,Thresh to Zero Invert,140,2,17,0.360107421875
327,f1369_07[TZER].png.min,Thresh to Zero,79,4,12,2.3193359375
328,s1471_01[BINA].png.min,Binary,77,3,27,1.084228515625
329,f1272_01[TRUC].png.min,Trunc,5,2,20,3.07373046875
330,f1436_09[TOZI].png.min,Thresh to Zero Invert,304,5,27,2.098876953125
331,f1403_05[BINV].png.min,Binary Invert,154,2,56,0.500732421875
332,f1471_01.png.min,No Filter,122,1,44,1.292724609375
333,s1435_09[BINV].png.min,Binary Invert,20,5,8,2.7099609375
334,s1385_06[BINA].png.min,Binary,113,5,13,1.507568359375
335,f1470_09[BINV].png.min,Binary Invert,55,3,34,3.28466796875
336,f1381_01[TZER].png.min,Thresh to Zero,84,1,19,2.99658203125
337,f1429_06[BINA].png.min,Binary,40,3,22,2.4296875
338,s1453_07[TOZI].png.min,Thresh to Zero Invert,147,5,15,1.44140625
339,s1432_03[TOZI].png.min,Thresh to Zero Invert,270,2,35,2.393798828125
340,s1385_06.png.min,No Filter,114,3,35,3.103759765625
341,s1499_01[BINA].png.min,Binary,67,2,28,2.986328125
342,f1392_10[BINA].png.min,Binary,65,5,32,2.010498046875
343,f1275_02[BINV].png.min,Binary Invert,11,5,13,0.576416015625
344,s1316_09[BINA].png.min,Binary,0,3,29,2.1640625
345,f1439_01[TZER].png.min,Thresh to Zero,113,5,16,0.748779296875
346,s1491_06[TOZI].png.min,Thresh to Zero Invert,175,3,21,1.652587890625
347,s1403_05.png.min,No Filter,92,3,31,0.4189453125
348,s1437_07[BINA].png.min,Binary,146,5,6,1.198486328125
349,s1436_09[BINA].png.min,Binary,43,3,53,1.2626953125
350,f1365_07.png.min,No Filter,108,3,19,1.238037109375
351,f1494_04[BINA].png.min,Binary,38,2,40,1.024169921875
352,s1340_01[BINA].png.min,Binary,152,2,41,2.5283203125
353,f1390_07.png.min,No Filter,144,3,33,1.270263671875
354,f1379_07[TOZI].png.min,Thresh to Zero Invert,317,1,47,2.6162109375
355,f1347_09[TZER].png.min,Thresh to Zero,8,3,25,3.117431640625
356,s1260_04.png.min,No Filter,98,3,31,2.285400390625
357,s1333_08[TRUC].png.min,Trunc,149,1,49,0.9853515625
358,f1277_08[TRUC].png.min,Trunc,33,5,12,0.30908203125
359,f1286_04[BINA].png.min,Binary,116,3,13,2.262939453125
360,s1438_09.png.min,No Filter,169,3,32,0.784912109375
361,f1283_03[TOZI].png.min,Thresh to Zero Invert,171,2,32,1.061279296875
362,s1405_07[TOZI].png.min,Thresh to Zero Invert,63,3,17,1.67236328125
363,f1252_07[TOZI].png.min,Thresh to Zero Invert,122,2,46,1.971435546875
364,s1367_02.png.min,No Filter,139,1,53,1.903564453125
365,f1343_09[BINA].png.min,Binary,82,4,24,1.873046875
366,f1473_08[BINV].png.min,Binary Invert,112,5,17,2.818359375
367,f1335_08[TZER].png.min,Thresh to Zero,92,3,13,1.627197265625
368,f1495_10[TOZI].png.min,Thresh to Zero Invert,176,2,44,1.91015625
369,f1408_03[TOZI].png.min,Thresh to Zero Invert,177,1,58,2.017333984375
370,f1345_06[TZER].png.min,Thresh to Zero,81,3,14,1.38330078125
371,f1427_10[TRUC].png.min,Trunc,139,3,15,3.07421875
372,f1430_05[TRUC].png.min,Trunc,40,1,41,1.441162109375
373,f1497_03[TOZI].png.min,Thresh to Zero Invert,214,3,34,2.532958984375
374,s1299_07[TRUC].png.min,Trunc,152,3,20,0.22607421875
375,s1460_06[TZER].png.min,Thresh to Zero,73,4,30,2.67578125
376,s1389_08[TOZI].png.min,Thresh to Zero Invert,230,4,17,2.6025390625
377,f1363_08[BINA].png.min,Binary,13,2,31,1.736572265625
378,f1378_08[TOZI].png.min,Thresh to Zero Invert,217,5,5,2.41650390625
379,f1420_05[TOZI].png.min,Thresh to Zero Invert,175,3,22,2.35400390625
380,f1416_06.png.min,No Filter,111,2,34,1.6591796875
381,f1339_04.png.min,No Filter,77,2,43,2.413818359375
382,f1497_03.png.min,No Filter,173,5,7,0.18017578125
383,f1306_08[BINV].png.min,Binary Invert,76,2,42,2.56640625
384,s1277_08.png.min,No Filter,140,4,21,1.05419921875
385,f1458_04[BINV].png.min,Binary Invert,122,3,60,2.069580078125
