,nome,filtro,minucias,nfiq,nfiq2
448,f0326_07[TRUC].png.min,Trunc,66,1,41
449,f0358_09.png.min,No Filter,143,5,18
450,f0404_08[BINA].png.min,Binary,98,1,51
451,f0408_01[TRUC].png.min,Trunc,118,3,17
452,f0483_01[TRUC].png.min,Trunc,187,2,30
453,f0322_06[TRUC].png.min,Trunc,121,2,32
454,f0317_05[TRUC].png.min,Trunc,101,1,53
455,f0303_03[TRUC].png.min,Trunc,129,5,9
456,s0335_06[TZER].png.min,Thresh to Zero,100,3,31
457,f0406_04[TOZI].png.min,Thresh to Zero Invert,168,1,49
458,s0488_10[TZER].png.min,Thresh to Zero,44,1,28
459,f0480_04[BINV].png.min,Binary Invert,84,2,42
460,s0288_01[TOZI].png.min,Thresh to Zero Invert,137,3,25
461,s0293_01[BINA].png.min,Binary,60,4,9
462,f0336_02[BINV].png.min,Binary Invert,77,2,45
463,f0304_08[BINV].png.min,Binary Invert,77,2,42
464,f0314_04[TRUC].png.min,Trunc,80,5,8
465,s0299_06[BINA].png.min,Binary,140,3,23
466,s0291_03[TRUC].png.min,Trunc,113,2,29
467,f0403_07[TRUC].png.min,Trunc,103,1,51
468,f0476_09[TRUC].png.min,Trunc,92,4,14
469,s0341_03[BINA].png.min,Binary,100,3,44
470,s0428_09[BINA].png.min,Binary,117,4,13
471,s0264_01[BINA].png.min,Binary,88,2,9
472,f0338_04[TRUC].png.min,Trunc,141,2,51
473,s0311_03.png.min,No Filter,129,1,51
474,f0279_06[TOZI].png.min,Thresh to Zero Invert,238,5,10
475,s0290_02.png.min,No Filter,151,5,15
476,s0385_07[BINV].png.min,Binary Invert,63,4,23
477,s0336_02[BINV].png.min,Binary Invert,146,1,53
478,f0377_04[TRUC].png.min,Trunc,172,3,36
479,s0403_07.png.min,No Filter,117,5,6
480,f0438_05[TRUC].png.min,Trunc,129,3,29
481,s0477_04[BINV].png.min,Binary Invert,94,3,22
482,s0303_03[BINV].png.min,Binary Invert,30,1,46
483,f0440_08.png.min,No Filter,126,3,40
